4288c1c83da52a8a221cda78554c3c7d,0335,26000030,"Small stores"
4288c1c83da52a8a221cda78554c3c7d,0260,26000020,"Medium stores"
4288c1c83da52a8a221cda78554c3c7d,0185,26000020,"Medium stores"
4288c1c83da52a8a221cda78554c3c7d,0245,26000030,"Small stores"
4288c1c83da52a8a221cda78554c3c7d,0140,26000020,"Medium stores"
4288c1c83da52a8a221cda78554c3c7d,0515,26000020,"Medium stores"
4288c1c83da52a8a221cda78554c3c7d,0170,26000030,"Small stores"
4288c1c83da52a8a221cda78554c3c7d,0545,26000030,"Small stores"
4288c1c83da52a8a221cda78554c3c7d,0155,26000030,"Small stores"
4288c1c83da52a8a221cda78554c3c7d,0365,26000030,"Small stores"
4288c1c83da52a8a221cda78554c3c7d,0500,26000020,"Medium stores"
4288c1c83da52a8a221cda78554c3c7d,0455,26000020,"Medium stores"
4288c1c83da52a8a221cda78554c3c7d,0290,26000020,"Medium stores"
4288c1c83da52a8a221cda78554c3c7d,0410,26000030,"Small stores"
4288c1c83da52a8a221cda78554c3c7d,0530,26000030,"Small stores"
4288c1c83da52a8a221cda78554c3c7d,0110,26000010,"Large stores"
4288c1c83da52a8a221cda78554c3c7d,0470,26000030,"Small stores"
4288c1c83da52a8a221cda78554c3c7d,0200,26000020,"Medium stores"
4288c1c83da52a8a221cda78554c3c7d,0380,26000020,"Medium stores"
4288c1c83da52a8a221cda78554c3c7d,0485,26000020,"Medium stores"
4288c1c83da52a8a221cda78554c3c7d,0125,26000020,"Medium stores"
4288c1c83da52a8a221cda78554c3c7d,0395,26000010,"Large stores"
4288c1c83da52a8a221cda78554c3c7d,0305,26000010,"Large stores"
4288c1c83da52a8a221cda78554c3c7d,0425,26000030,"Small stores"
4288c1c83da52a8a221cda78554c3c7d,0230,26000030,"Small stores"
4288c1c83da52a8a221cda78554c3c7d,0215,26000030,"Small stores"
4288c1c83da52a8a221cda78554c3c7d,0440,26000030,"Small stores"
4288c1c83da52a8a221cda78554c3c7d,0320,26000020,"Medium stores"
4288c1c83da52a8a221cda78554c3c7d,0275,26000030,"Small stores"
4288c1c83da52a8a221cda78554c3c7d,0350,26000020,"Medium stores"
